0,000001.SZ
1,000002.SZ
2,000004.SZ
3,000005.SZ
4,000006.SZ
5,000007.SZ
6,000008.SZ
7,000009.SZ
8,000010.SZ
9,000011.SZ
10,000012.SZ
11,000014.SZ
12,000016.SZ
13,000017.SZ
14,000018.SZ
15,000019.SZ
16,000020.SZ
17,000021.SZ
18,000023.SZ
19,000025.SZ
20,000026.SZ
21,000027.SZ
22,000028.SZ
23,000029.SZ
24,000030.SZ
25,000031.SZ
26,000032.SZ
27,000034.SZ
28,000035.SZ
29,000036.SZ
30,000037.SZ
31,000038.SZ
32,000039.SZ
33,000040.SZ
34,000042.SZ
35,000043.SZ
36,000045.SZ
37,000046.SZ
38,000048.SZ
39,000049.SZ
40,000050.SZ
41,000055.SZ
42,000056.SZ
43,000058.SZ
44,000059.SZ
45,000060.SZ
46,000061.SZ
47,000062.SZ
48,000063.SZ
49,000065.SZ
50,000066.SZ
51,000068.SZ
52,000069.SZ
53,000070.SZ
54,000078.SZ
55,000088.SZ
56,000089.SZ
57,000090.SZ
58,000096.SZ
59,000099.SZ
60,000100.SZ
61,000150.SZ
62,000151.SZ
63,000153.SZ
64,000155.SZ
65,000156.SZ
66,000157.SZ
67,000158.SZ
68,000159.SZ
69,000166.SZ
70,000301.SZ
71,000333.SZ
72,000338.SZ
73,000400.SZ
74,000401.SZ
75,000402.SZ
76,000403.SZ
77,000404.SZ
78,000407.SZ
79,000408.SZ
80,000409.SZ
81,000410.SZ
82,000411.SZ
83,000413.SZ
84,000415.SZ
85,000416.SZ
86,000417.SZ
87,000419.SZ
88,000420.SZ
89,000421.SZ
90,000422.SZ
91,000423.SZ
92,000425.SZ
93,000426.SZ
94,000428.SZ
95,000429.SZ
96,000430.SZ
97,000488.SZ
98,000498.SZ
99,000501.SZ
100,000502.SZ
101,000503.SZ
102,000504.SZ
103,000505.SZ
104,000506.SZ
105,000507.SZ
106,000509.SZ
107,000510.SZ
108,000513.SZ
109,000514.SZ
110,000516.SZ
111,000517.SZ
112,000518.SZ
113,000519.SZ
114,000520.SZ
115,000521.SZ
116,000523.SZ
117,000524.SZ
118,000525.SZ
119,000526.SZ
120,000528.SZ
121,000529.SZ
122,000530.SZ
123,000531.SZ
124,000532.SZ
125,000533.SZ
126,000534.SZ
127,000536.SZ
128,000537.SZ
129,000538.SZ
130,000539.SZ
131,000540.SZ
132,000541.SZ
133,000543.SZ
134,000544.SZ
135,000545.SZ
136,000546.SZ
137,000547.SZ
138,000548.SZ
139,000550.SZ
140,000551.SZ
141,000552.SZ
142,000553.SZ
143,000554.SZ
144,000555.SZ
145,000557.SZ
146,000558.SZ
147,000559.SZ
148,000560.SZ
149,000561.SZ
150,000563.SZ
151,000564.SZ
152,000565.SZ
153,000566.SZ
154,000567.SZ
155,000568.SZ
156,000570.SZ
157,000571.SZ
158,000572.SZ
159,000573.SZ
160,000576.SZ
