,trade_date,open,high,low,close,change,vol,amount
0,20191211,20.45,20.45,19.74,19.99,-0.48,8994.12,17977.031
1,20191210,20.67,20.8,20.25,20.47,-0.18,9019.43,18433.795
2,20191209,21.4,21.47,20.4,20.65,-0.66,13599.3,28178.548
3,20191206,20.91,21.35,20.76,21.31,0.4,14814.31,31281.164
4,20191205,20.57,21.28,20.52,20.91,0.34,9405.8,19640.291
5,20191204,20.14,20.68,19.98,20.57,0.37,7416.67,15169.449
6,20191203,19.74,20.34,19.74,20.2,0.3,11132.72,22374.048
7,20191202,20.38,20.38,19.68,19.9,-0.01,11646.02,23369.453
8,20191129,19.12,20.24,19.03,19.91,0.4,15445.52,30386.38
9,20191128,18.57,20.23,18.5,19.51,1.12,25028.99,49064.701
10,20191127,18.52,18.67,18.31,18.39,-0.27,4628.0,8542.841
11,20191126,18.66,18.71,18.5,18.66,-0.01,2788.0,5183.896
12,20191125,18.78,18.9,18.45,18.67,-0.13,5025.3,9348.982
13,20191122,19.01,19.05,18.67,18.8,-0.25,5955.72,11231.7
14,20191121,18.92,19.18,18.71,19.05,0.2,6406.0,12113.852
15,20191120,19.48,19.48,18.77,18.85,-0.2,9728.0,18575.316
16,20191119,18.35,19.28,18.3,19.05,0.7,8809.71,16619.525
17,20191118,18.48,18.62,18.26,18.35,-0.09,4882.01,8997.806
18,20191115,18.81,19.11,18.44,18.44,-0.37,8090.0,15140.632
19,20191114,18.79,19.19,18.43,18.81,-0.06,8881.6,16764.727
20,20191113,18.55,19.8,18.55,18.87,0.42,10742.2,20532.439
21,20191112,18.49,18.61,18.18,18.45,-0.38,8654.3,15920.744
22,20191111,19.49,19.57,18.11,18.83,-1.09,17696.83,33267.737
23,20191108,22.0,22.57,19.8,19.92,-0.96,36475.01,77474.379
24,20191107,20.88,20.88,20.88,20.88,1.9,16942.82,35376.608
25,20191105,19.23,19.35,18.79,18.98,-0.33,8094.48,15416.892
26,20191104,19.5,19.81,19.19,19.31,-0.03,9311.69,18117.827
27,20191101,18.38,19.98,18.16,19.34,1.15,13033.82,24857.819
28,20191031,17.82,18.7,17.82,18.19,0.62,9264.01,16995.684
29,20191030,18.35,18.35,17.03,17.57,-0.73,5931.0,10516.62
30,20191029,18.66,18.72,18.3,18.3,-0.36,5393.0,9948.524
31,20191028,18.42,18.66,18.15,18.66,0.22,6184.11,11426.783
32,20191025,18.6,18.6,18.1,18.44,-0.16,6076.61,11125.235
33,20191024,18.8,18.8,18.6,18.6,-0.27,2537.1,4736.696
34,20191023,18.85,18.89,18.56,18.87,0.02,6494.26,12160.068
35,20191022,18.8,18.9,18.55,18.85,0.0,5219.26,9762.029
36,20191021,18.85,19.0,18.64,18.85,0.06,4533.79,8542.745
37,20191018,18.86,18.98,18.64,18.79,-0.21,6500.91,12187.454
38,20191017,19.35,19.54,19.0,19.0,-0.44,11129.91,21528.077
39,20191016,18.89,19.44,18.66,19.44,0.6,10619.17,20294.102
40,20191015,19.08,19.08,18.75,18.84,-0.21,4640.73,8754.232
41,20191014,18.81,19.18,18.81,19.05,0.18,6408.64,12203.003
42,20191011,18.95,19.0,18.68,18.87,-0.07,6223.26,11720.946
43,20191010,18.73,18.97,18.53,18.94,0.21,4299.0,8117.007
44,20191009,18.83,18.83,18.58,18.73,-0.1,3770.26,7047.313
45,20191008,18.7,18.99,18.7,18.83,0.03,5166.0,9763.937
46,20190930,18.83,18.95,18.62,18.8,-0.08,3919.0,7365.996
47,20190927,18.68,18.97,18.6,18.88,0.28,6678.5,12547.838
48,20190926,18.98,19.14,18.53,18.6,-0.46,9514.0,17939.775
49,20190925,19.82,19.82,19.03,19.06,-0.83,13123.0,25342.405
50,20190924,19.95,20.04,19.74,19.89,-0.15,13777.5,27409.469
51,20190923,20.36,20.65,19.61,20.04,-0.99,29893.32,59837.839
52,20190920,22.0,22.84,20.97,21.03,-0.97,66722.63,145386.52
53,20190919,20.25,22.0,20.22,22.0,2.0,56631.99,124305.124
54,20190918,20.56,20.56,19.91,20.0,-0.5,9069.01,18306.805
55,20190917,20.1,20.5,19.51,20.5,0.36,16659.31,33317.192
56,20190916,20.01,20.31,19.9,20.14,0.13,6927.01,13896.547
57,20190912,20.01,20.12,19.91,20.01,-0.04,4982.0,9948.431
58,20190911,20.39,20.46,20.05,20.05,-0.12,6284.0,12698.289
59,20190910,20.22,20.4,19.96,20.17,-0.05,6321.0,12725.999
60,20190909,19.82,20.28,19.54,20.22,0.71,10861.49,21687.384
61,20190906,19.94,19.99,19.45,19.51,-0.5,8107.19,15945.811
62,20190905,20.5,20.5,19.93,20.01,0.03,7047.1,14172.63
63,20190904,19.94,19.98,19.72,19.98,0.0,6194.0,12288.178
64,20190903,20.4,20.4,19.77,19.98,-0.06,8193.36,16386.189
65,20190902,19.84,20.39,19.31,20.04,0.2,9408.6,18754.367
66,20190830,20.43,20.63,19.77,19.84,-0.5,7844.0,15747.914
67,20190829,20.25,20.77,20.25,20.34,0.0,10160.0,20822.741
68,20190828,20.27,20.83,20.1,20.34,0.01,7193.36,14716.673
69,20190827,20.13,20.5,20.06,20.33,0.2,8181.01,16647.894
70,20190826,19.49,20.26,19.3,20.13,0.18,8491.76,16962.55
71,20190823,19.99,20.44,19.89,19.95,-0.44,9003.0,18038.928
72,20190822,19.82,20.79,19.82,20.39,0.24,14454.0,29471.49
73,20190821,20.0,21.66,19.92,20.15,0.2,13121.0,26956.963
74,20190820,19.99,20.07,19.7,19.95,0.1,9465.01,18857.055
75,20190819,20.0,20.0,19.38,19.85,0.7,10981.1,21642.087
76,20190816,18.9,19.42,18.88,19.15,0.06,7504.46,14396.705
77,20190815,18.13,19.14,18.13,19.09,0.64,7422.06,13861.91
78,20190814,18.19,18.45,18.19,18.45,0.34,5190.11,9523.592
79,20190813,18.03,18.19,18.03,18.11,-0.16,1863.0,3373.144
80,20190812,18.15,18.38,18.12,18.27,0.13,3123.05,5683.728
81,20190809,18.35,18.42,18.13,18.14,0.01,3199.1,5839.596
82,20190808,18.39,18.39,18.03,18.13,-0.03,3559.36,6478.99
83,20190807,18.25,18.52,18.16,18.16,-0.08,3164.0,5786.125
84,20190806,18.89,18.89,17.79,18.24,-0.81,7654.0,14004.081
85,20190805,18.75,19.4,18.41,19.05,0.3,6137.0,11589.737
86,20190802,18.05,19.36,18.05,18.75,0.3,9527.01,17865.367
87,20190801,18.47,18.67,18.31,18.45,-0.05,5545.04,10250.524
