,trade_date,open,high,low,close,change,vol,amount
0,20191211,27.99,28.24,27.95,28.0,0.1,985187.14,2765688.862
1,20191210,28.08,28.15,27.73,27.9,-0.27,685469.29,1914187.737
2,20191209,27.96,28.35,27.96,28.17,0.31,1160606.12,3267608.704
3,20191206,27.86,27.88,27.72,27.86,0.06,358417.78,997431.113
4,20191205,27.95,27.95,27.61,27.8,0.02,373263.56,1036876.654
5,20191204,27.88,28.0,27.65,27.78,-0.22,343382.71,954765.854
6,20191203,27.97,28.18,27.73,28.0,-0.05,596981.6,1673918.787
7,20191202,27.87,28.12,27.86,28.05,0.35,1006843.93,2823613.032
8,20191129,27.83,27.85,27.59,27.7,-0.1,448064.84,1242373.843
9,20191128,28.01,28.01,27.62,27.8,-0.2,439961.62,1222840.122
10,20191127,28.29,28.39,27.88,28.0,-0.35,631435.43,1775378.956
11,20191126,28.65,28.7,28.09,28.35,-0.3,717189.2,2033217.22
12,20191125,27.3,28.65,27.3,28.65,1.64,1368032.57,3856258.081
13,20191122,26.78,27.1,26.69,27.01,0.26,669911.33,1804428.855
14,20191121,26.55,26.76,26.45,26.75,0.1,385674.61,1028865.557
15,20191120,26.75,26.81,26.6,26.65,-0.07,485753.69,1298731.943
16,20191119,26.46,26.77,26.4,26.72,0.3,670929.91,1790181.123
17,20191118,26.4,26.56,26.11,26.42,-0.07,368123.61,971790.938
18,20191115,26.44,26.66,26.37,26.49,0.1,468115.31,1243472.92
19,20191114,26.23,26.47,26.07,26.39,0.2,378340.59,996571.596
20,20191113,26.28,26.3,26.0,26.19,-0.09,346952.18,906913.752
21,20191112,26.32,26.53,26.21,26.28,-0.1,363338.48,957393.717
22,20191111,26.58,26.59,26.32,26.38,-0.36,463259.32,1225718.598
23,20191108,26.69,26.81,26.57,26.74,0.17,485246.82,1296314.035
24,20191107,26.61,26.68,26.5,26.57,-0.08,338402.13,899446.952
25,20191106,26.87,26.87,26.42,26.65,-0.23,674955.29,1793945.059
26,20191105,26.9,27.04,26.53,26.88,0.02,989568.41,2661351.01
27,20191104,26.93,27.04,26.72,26.86,0.03,538984.78,1449249.324
28,20191101,26.56,26.86,26.19,26.83,0.3,626001.06,1671105.769
29,20191031,26.65,26.8,26.38,26.53,-0.12,336242.1,892565.154
30,20191030,26.62,26.81,26.6,26.65,-0.02,363281.93,970373.901
31,20191029,26.86,26.94,26.65,26.67,-0.21,356020.1,952604.312
32,20191028,26.96,26.96,26.5,26.88,-0.09,430973.13,1154334.459
33,20191025,26.81,27.26,26.75,26.97,0.31,576900.67,1557601.073
34,20191024,26.75,26.94,26.55,26.66,-0.12,427847.72,1144057.301
35,20191023,27.25,27.29,26.67,26.78,-0.58,567453.85,1524444.874
36,20191022,27.74,27.76,27.13,27.36,-0.28,610048.93,1666020.11
37,20191021,27.08,27.75,27.0,27.64,0.68,872102.99,2397091.54
38,20191018,27.5,27.73,26.8,26.96,-0.39,607699.49,1656770.01
39,20191017,27.2,27.65,27.05,27.35,0.28,680262.63,1863059.279
40,20191016,26.97,27.73,26.91,27.07,0.3,1003115.5,2738841.249
41,20191015,27.19,27.28,26.69,26.77,-0.35,500297.87,1346872.054
42,20191014,26.95,27.33,26.84,27.12,0.31,1040628.13,2825413.279
43,20191011,26.74,26.85,26.51,26.81,0.19,690326.26,1847963.515
44,20191010,26.85,26.95,26.5,26.62,-0.18,541049.4,1442136.207
45,20191009,26.19,27.02,26.15,26.8,0.44,1156158.91,3098614.759
46,20191008,26.01,26.8,26.01,26.36,0.46,846172.73,2244970.29
47,20190930,25.97,26.14,25.81,25.9,-0.1,275853.64,715836.294
48,20190927,26.21,26.21,25.91,26.0,-0.22,397929.72,1035915.227
49,20190926,26.1,26.4,26.02,26.22,0.2,513030.07,1345600.003
50,20190925,26.09,26.24,25.94,26.02,-0.11,377226.1,984737.112
51,20190924,26.24,26.33,26.09,26.13,-0.02,348238.65,912369.802
52,20190923,26.49,26.49,26.0,26.15,-0.65,603530.46,1578059.535
53,20190920,26.89,26.95,26.63,26.8,0.07,375726.63,1005401.011
54,20190919,27.05,27.07,26.6,26.73,-0.21,345420.78,923249.096
55,20190918,26.82,27.22,26.79,26.94,0.12,361632.0,977811.506
56,20190917,27.15,27.16,26.69,26.82,-0.39,416481.58,1119881.507
57,20190916,27.77,27.77,27.15,27.21,-0.57,485030.33,1326898.064
58,20190912,27.14,27.81,27.13,27.78,0.87,895784.71,2476233.385
59,20190911,27.3,27.33,26.77,26.91,-0.33,350397.86,943979.708
60,20190910,27.2,27.27,26.98,27.24,0.17,388348.57,1053124.072
61,20190909,27.05,27.36,27.01,27.07,0.18,510380.5,1385666.11
62,20190906,26.88,26.92,26.64,26.89,0.19,442330.73,1184338.273
63,20190905,26.83,27.35,26.65,26.7,0.0,780259.15,2109301.722
64,20190904,25.83,26.75,25.73,26.7,1.0,908130.36,2388814.231
65,20190903,25.97,26.05,25.61,25.7,-0.19,454523.07,1170596.826
66,20190902,25.75,26.06,25.69,25.89,0.09,439523.81,1138396.501
67,20190830,26.22,26.22,25.68,25.8,-0.17,434934.0,1125318.902
68,20190829,26.59,26.64,25.86,25.97,-0.58,562064.46,1465149.779
69,20190828,26.55,26.69,26.36,26.55,0.03,266293.96,706306.155
70,20190827,26.62,26.98,26.47,26.52,0.07,497275.3,1326062.526
71,20190826,26.46,26.56,26.2,26.45,-0.51,472345.97,1244677.471
