,trade_date,open,high,low,close,change,vol,amount
72,20190823,27.25,27.28,26.9,26.96,-0.2,374285.95,1011168.748
73,20190822,27.54,27.55,27.12,27.16,-0.23,285591.27,778780.565
74,20190821,27.41,27.77,27.25,27.39,0.22,438762.77,1204112.154
75,20190820,26.78,27.36,26.7,27.17,0.29,478734.34,1301096.027
76,20190819,26.9,26.96,26.42,26.88,0.6,487359.96,1303443.683
77,20190816,26.4,26.52,26.16,26.28,-0.06,358174.84,944690.704
78,20190815,26.0,26.43,25.65,26.34,0.26,350418.86,918434.461
79,20190814,27.69,27.74,26.9,27.13,-0.2,528475.04,1435516.941
80,20190813,27.62,27.74,27.18,27.33,-0.44,287658.74,787625.721
81,20190812,27.31,27.88,27.28,27.77,0.48,262532.27,726706.157
82,20190809,27.85,27.85,27.16,27.29,-0.36,254721.49,697605.312
83,20190808,27.53,27.8,27.36,27.65,0.29,278466.22,767941.217
84,20190807,27.15,27.56,27.05,27.36,0.34,366592.8,1001711.727
85,20190806,26.65,27.34,26.41,27.02,0.01,446789.74,1202706.317
86,20190805,27.72,27.76,27.0,27.01,-1.0,430819.32,1177180.243
87,20190802,27.75,28.25,27.68,28.01,-0.41,435982.84,1214285.13
88,20190801,28.5,28.75,28.19,28.42,-0.34,361277.21,1028750.662
